"Transfer Received Date";"From Stock";"To Stock";"Product Code";"Product Name";"Transfer Quantity";"Serial Number";"IMEI Number";"Transfer Value"
"2026-07-01";"DC_MSPI-Owned";"GB3-MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C70420J9B9";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GB3-MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6175C7NZ13XCB6";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GB3-MSPI-Owned";"661-35885";"Battery, iPhone 15";"1";"F8YHPDC02LY00006TW";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GB3-MSPI-Owned";"661-56050";"Display, iPhone 17 Pro Max";"1";"GH3HS600CT30000MUZ";"";"379.00"
"2026-07-01";"TRI-MSPI-Owned";"TRI_Finished Goods";"MFYN4X/A";"iPhone 17 Pro Max 256GB Cosmic Orange";"1";"SHDWDPQYMV6";"";"89290.50"
"2026-07-03";"MOA-MSPI-Owned";"MOA_Finished Goods";"MG6L4X/A";"IPHONE 17 256GB MIST BLUE";"1";"F2MWV6L36L";"";"59840.50"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6165C4G113RHC4";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C34V20J9BA";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-44954";"Battery, iPhone 16 Pro Max";"1";"F8YHQ5H08ES0000UMK";"";"119.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6207C2X918FKBU";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C0PG18FKBG";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C12618FKBL";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C7GQ217WBQ";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C76P217WBM";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21988";"Display, iPhone 13";"1";"G9P5491C38FPR5QAL";"";"279.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30366";"Display, iPhone 14";"1";"G9Q5495VA1E1502A0";"";"279.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30373";"Battery, iPhone 14";"1";"F8Y6181C2YK231LB7";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6195C2RS13XCB3";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-36706";"Display, iPhone 15";"1";"G9P5432SA8V21KHAS";"";"279.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-44797";"Display, iPhone 16";"1";"G9QHQXR13DT00004Y7";"";"279.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-42726";"Display, iPhone 16 Pro";"1";"G9PHRCT0D0V00005DP";"";"329.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-44955";"Display, iPhone 16 Pro Max";"1";"G9PHJ2S0E5400005DR";"";"379.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-56050";"Display, iPhone 17 Pro Max";"1";"GH3HS901U400000MUZ";"";"379.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-42720";"Battery, iPhone 16 Pro";"1";"F8YHT8A0AJ80000RZ2";"";"119.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6126C5PM13RHC7";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-37207";"Battery, iPhone 15 Plus";"1";"F8YHTCC00NX00006U0";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-36918";"Battery, iPhone 15 Pro Max";"1";"FG9HSY000AX00006TT";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-36918";"Battery, iPhone 15 Pro Max";"1";"FG9HSY0024E00006TT";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6195C5AC13XCBR";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30394";"Battery, iPhone 14 Plus";"1";"F8Y6233C49Z237KBM";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C5YD217WBP";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6163C69S217WB9";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30373";"Battery, iPhone 14";"1";"F8Y6181C2Y4231LBN";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C4KT20J9B0";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C2ZM20J9B0";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6171C13T13XCBB";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C8D718FKBB";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C13J18FKB5";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHSFD0SSX00006TP";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"VER_MSPI-Owned";"661-36918";"Battery, iPhone 15 Pro Max";"1";"FG9HSY002X400006TT";"";"99.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-49431";"Display, iPhone 16e";"1";"G9Q5385XM721502AF";"";"229.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-55240";"Display, iPhone Air";"1";"GVCHJW03K690000HU9";"";"329.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-56049";"Battery, pSIM, iPhone 17 Pro Max";"1";"FG9HL501A3T00015XX";"";"119.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-44796";"Battery, iPhone 16";"1";"FG9HNM00F190000R3T";"";"99.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-44796";"Battery, iPhone 16";"1";"FG9HNM00DN50000R3T";"";"99.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-36918";"Battery, iPhone 15 Pro Max";"1";"FG9HSE003WW00006TT";"";"None"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6133C4B313RHCU";"";"89.00"
"2026-07-03";"DC_MSPI-Owned";"NES_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6126C1MP13RHCF";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-44955";"Display, iPhone 16 Pro Max";"1";"G9PHJ0U0N8N00005DR";"";"379.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-30401";"Display, iPhone 14 Pro Max";"1";"G9P5181NGQY14YDA3";"";"379.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C12018FKBS";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C11F18FKBE";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C1LC18FKBU";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C0PE18FKBJ";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C85A20J9BM";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6182C1G313XCBS";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6165C4BA13RHCA";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C4J418FKB5";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C43018FKBJ";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C04Q18FKBX";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-56050";"Display, iPhone 17 Pro Max";"1";"GH3HRP015UH0000MUZ";"";"379.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C1L618FKB0";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C01D18FKBH";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C05018FKBJ";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-44797";"Display, iPhone 16";"1";"G9NHQV21ACG00004Y7";"";"279.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-42726";"Display, iPhone 16 Pro";"1";"G9PHRDT22KA00005DP";"";"329.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C16018FKBE";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206CA2G18FKBZ";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6185C29F18FKBZ";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-30397";"Battery, iPhone 14 Pro Max";"1";"F8Y6166C20E20J9B4";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHSWD02AD00006TP";"";"99.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6207C47Y18FKB7";"";"89.00"
"2026-07-04";"DC_MSPI-Owned";"SMS_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6184CCZ818FKBT";"";"89.00"
"2026-07-05";"DC_MSPI-Owned";"FES-MSPI-Owned";"661-21988";"Display, iPhone 13";"1";"G9P5487CCGBPR5QAN";"";"279.00"
